State,Abbreviation,WeatherRanking,Affordability,Crime,Culture,Wellness,OverallRanking
Arizona,AZ,2,25,14,32,39,40
Massachusetts,MA,14,38,14,33,10,47
Idaho,ID,10,12,26,1,15,50
Washington,WA,17,9,9,1,27,25
Arkansas,AR,13,14,20,39,41,34
Utah,UT,30,27,35,20,21,20
Hawaii,HI,32,38,10,2,18,43
Vermont,VT,31,26,43,42,15,27
Maine,ME,18,20,18,40,23,36
Mississippi,MS,4,32,50,24,23,19
Indiana,IN,30,15,39,16,36,1
Wyoming,WY,16,12,15,18,47,43
Virginia,VA,4,22,2,10,43,5
Virginia,VA,8,44,13,15,29,42
Rhode Island,RI,22,39,34,48,4,44
Wisconsin,WI,33,12,15,31,34,6
Michigan,MI,14,42,22,11,22,17
Oregon,OR,6,15,37,13,32,14
Michigan,MI,27,30,16,8,19,32
Minnesota,MN,30,10,26,13,29,45
Utah,UT,5,37,18,33,5,49
Rhode Island,RI,45,3,27,30,36,14
Arkansas,AR,32,20,14,18,27,23
Arkansas,AR,48,35,50,44,28,35
Mississippi,MS,19,10,42,4,49,27
Missouri,MO,13,18,13,32,27,17
New York,NY,11,38,50,4,25,19
Hawaii,HI,13,19,19,4,30,28
Wisconsin,WI,36,23,38,38,2,16
Louisiana,LA,12,20,28,47,22,10
Arizona,AZ,20,2,4,37,36,39
Arkansas,AR,22,49,50,36,22,19
Indiana,IN,42,47,26,16,33,7
Nebraska,NE,9,31,41,49,18,35
Indiana,IN,36,46,3,33,43,47
New Hampshire,NH,4,2,38,34,6,25
Florida,FL,34,46,11,5,41,17
Iowa,IA,14,17,13,7,19,26
New York,NY,17,50,19,16,48,24
Kansas,KS,49,47,21,49,4,35
Arkansas,AR,48,41,42,38,24,12
Idaho,ID,31,11,23,13,21,15
Arizona,AZ,26,18,34,15,38,11
Oregon,OR,45,19,40,41,45,15
Tennessee,TN,1,29,14,48,35,49
Pennsylvania,PA,4,20,4,40,31,50
New Jersey,NJ,23,40,12,49,50,31
West Virginia,WV,8,6,18,28,33,47
Illinois,IL,48,26,47,38,16,15
Wyoming,WY,25,49,30,20,41,5
Oklahoma,OK,26,21,12,22,38,14
Louisiana,LA,6,30,18,28,1,33
Oklahoma,OK,20,48,48,44,28,11
New York,NY,46,17,50,31,7,50
Alabama,AL,43,40,45,32,50,13
Hawaii,HI,25,9,9,30,27,38
Rhode Island,RI,2,44,50,24,42,36
Colorado,CO,23,27,1,12,40,20
Louisiana,LA,42,1,9,27,4,28
Nebraska,NE,45,3,5,37,12,32
Kentucky,KY,12,17,33,45,5,11
Arizona,AZ,21,19,44,18,10,11
Utah,UT,43,22,45,15,34,43
North Carolina,NC,23,4,9,20,27,47
Hawaii,HI,11,4,7,48,19,18
Oklahoma,OK,3,12,7,36,33,23
South Dakota,SD,50,25,44,45,15,18
Montana,MT,42,4,18,38,45,5
Oregon,OR,16,21,14,22,31,20
New Mexico,NM,45,46,50,42,34,16
Wisconsin,WI,15,49,40,15,20,47
Delaware,DE,24,25,25,26,30,27
Arkansas,AR,39,24,43,20,49,48
Illinois,IL,40,41,9,26,43,37
New Mexico,NM,38,17,32,34,13,8
Rhode Island,RI,4,50,47,23,26,19
Maryland,MD,22,18,15,26,20,33
Kansas,KS,2,33,4,39,25,36
South Carolina,SC,36,22,21,36,18,12
Iowa,IA,41,26,17,35,1,19
Minnesota,MN,45,3,46,32,33,15
Illinois,IL,28,12,6,45,10,30
Louisiana,LA,35,50,14,21,22,20
Louisiana,LA,16,19,50,43,25,50
Oklahoma,OK,26,4,19,49,3,30
Delaware,DE,9,37,47,37,50,7
Alaska,AK,12,1,12,3,38,46
Arizona,AZ,40,28,35,40,34,6
Washington,WA,18,27,49,30,8,47
Louisiana,LA,29,31,35,17,30,34
Alaska,AK,36,28,18,7,24,5
Hawaii,HI,31,25,43,35,7,2
Massachusetts,MA,16,11,42,46,39,4
Missouri,MO,24,45,27,38,49,3
Georgia,GA,37,35,37,36,44,37
Kentucky,KY,11,39,20,9,41,38
New York,NY,8,31,5,1,40,30
Iowa,IA,46,37,41,25,10,47
Oklahoma,OK,44,22,2,12,15,19
Wisconsin,WI,21,45,32,27,9,31
Iowa,IA,25,29,7,13,5,40
Pennsylvania,PA,43,9,35,15,29,18
Idaho,ID,24,20,16,40,41,42
West Virginia,WV,4,46,20,42,2,50
Indiana,IN,13,36,6,47,8,26
Oklahoma,OK,33,10,26,10,49,40
North Carolina,NC,5,6,31,3,47,22
North Carolina,NC,49,4,25,44,24,25
Connecticut,CT,21,48,12,25,40,27
Florida,FL,48,37,17,20,44,17
Oregon,OR,42,15,30,19,5,6
Kansas,KS,4,39,22,32,32,30
Nebraska,NE,6,17,12,29,2,48
Arizona,AZ,1,31,33,33,38,46
Arizona,AZ,29,16,37,45,32,26
Utah,UT,50,41,27,36,45,35
Florida,FL,39,37,8,31,9,16
Ohio,OH,44,3,39,8,8,9
Maine,ME,5,5,17,46,4,19
Alabama,AL,24,18,38,4,33,38
Vermont,VT,8,22,3,36,35,15
Hawaii,HI,14,21,31,50,9,17
Maryland,MD,42,9,6,17,11,5
Idaho,ID,32,10,39,15,12,9
Delaware,DE,4,20,40,2,41,2
Oregon,OR,30,50,42,41,20,41
Florida,FL,11,15,24,17,12,48
Vermont,VT,43,30,18,7,43,6
Hawaii,HI,48,18,29,14,43,27
Kansas,KS,26,11,20,41,23,11
North Carolina,NC,29,7,35,5,48,35
California,CA,39,40,37,32,43,47
Mississippi,MS,3,17,9,16,30,25
Hawaii,HI,28,43,28,14,12,25
New Mexico,NM,23,37,50,9,8,7
Ohio,OH,20,7,4,45,27,14
Nebraska,NE,4,37,5,4,1,15
Nebraska,NE,27,4,44,26,16,5
Kentucky,KY,43,32,35,28,5,43
South Carolina,SC,1,19,6,10,22,4
Kentucky,KY,26,16,10,8,21,13
Wyoming,WY,2,38,33,43,34,21
Idaho,ID,39,19,21,43,20,34
Kansas,KS,28,49,19,24,42,25
Rhode Island,RI,30,1,10,47,32,46
Louisiana,LA,7,40,4,11,43,43
North Carolina,NC,15,48,27,47,29,19
Texas,TX,41,25,25,13,8,24
Virginia,VA,5,44,14,45,27,32
Idaho,ID,13,12,11,33,15,21
Oklahoma,OK,22,1,22,8,26,37
Oregon,OR,39,44,28,47,20,12
Maryland,MD,19,26,13,16,39,29
Pennsylvania,PA,41,50,18,20,15,34
Michigan,MI,30,2,18,31,24,8
New York,NY,15,3,6,49,6,42
Oklahoma,OK,38,25,4,44,33,27
North Dakota,ND,30,10,44,47,43,25
Wisconsin,WI,36,14,11,11,4,20
Maryland,MD,46,35,34,11,33,18
Connecticut,CT,11,9,31,2,47,8
Maine,ME,9,34,49,43,28,21
Delaware,DE,19,32,39,43,44,40
Rhode Island,RI,18,20,27,32,9,43
Tennessee,TN,33,27,35,35,2,37
Maryland,MD,32,44,38,15,16,20
North Dakota,ND,17,20,44,7,4,3
Mississippi,MS,34,42,22,2,42,30
Connecticut,CT,9,34,5,4,3,35
Montana,MT,45,12,35,40,11,22
New Mexico,NM,46,25,35,32,10,36
Kentucky,KY,14,2,43,18,26,4
Alabama,AL,21,36,45,15,39,37
Texas,TX,30,21,29,23,15,11
North Dakota,ND,7,49,43,27,27,5
Maryland,MD,34,33,43,41,30,47
Vermont,VT,13,22,8,28,37,2
Missouri,MO,15,40,13,47,18,34
Nevada,NV,12,26,21,7,38,39
Tennessee,TN,18,34,27,13,21,46
Arizona,AZ,30,18,44,6,48,14
Arkansas,AR,27,36,39,37,47,32
Florida,FL,12,15,38,3,28,26
Wisconsin,WI,17,12,37,19,20,5
Wisconsin,WI,25,40,20,29,48,25
Wisconsin,WI,20,35,11,1,46,14
Minnesota,MN,38,33,9,39,3,45
Wisconsin,WI,36,12,28,28,34,16
Maryland,MD,11,38,31,1,37,44
Minnesota,MN,11,42,13,7,16,40
New Hampshire,NH,4,17,8,18,13,47
Iowa,IA,14,36,32,8,42,39
Montana,MT,46,8,46,43,29,1
Georgia,GA,3,21,18,47,8,20
Montana,MT,48,22,13,33,37,25
Colorado,CO,44,20,28,22,36,31
Wisconsin,WI,26,10,13,15,31,21
North Carolina,NC,22,50,47,29,47,31
Maryland,MD,7,29,3,24,48,46
Virginia,VA,26,50,11,13,44,22
New York,NY,45,49,14,22,14,46
New Jersey,NJ,7,8,28,45,35,32
New Mexico,NM,50,16,40,33,3,1
Illinois,IL,6,50,3,2,10,10
Kansas,KS,3,14,46,43,42,6
Idaho,ID,45,24,7,42,16,19
Tennessee,TN,1,50,22,27,12,2
Rhode Island,RI,23,26,26,34,34,13
New York,NY,45,31,43,27,29,39
Kentucky,KY,5,50,41,41,15,21
West Virginia,WV,34,49,37,32,32,23
Ohio,OH,8,37,50,50,47,12
Alabama,AL,11,13,39,12,44,19
Hawaii,HI,14,36,20,30,45,49
West Virginia,WV,5,11,22,8,31,38
Utah,UT,13,45,39,26,26,10
Florida,FL,13,14,9,48,33,29
Indiana,IN,20,15,11,2,26,32
Wisconsin,WI,36,12,23,11,36,27
Montana,MT,50,22,37,36,23,26
Kansas,KS,7,23,40,15,49,27
Massachusetts,MA,44,22,14,16,16,29
New Hampshire,NH,21,23,6,31,24,15
Wyoming,WY,43,29,29,3,37,24
Alaska,AK,35,28,15,43,32,44
Kentucky,KY,2,9,40,40,21,5
South Carolina,SC,15,50,16,1,32,42
Ohio,OH,8,5,11,11,8,47
Pennsylvania,PA,29,46,11,14,2,21
Iowa,IA,49,4,45,31,45,50
Delaware,DE,44,15,26,22,40,16
Ohio,OH,6,20,18,29,32,48
Florida,FL,29,11,37,7,23,26
South Dakota,SD,44,2,46,34,44,2
Louisiana,LA,20,8,40,20,41,3
